,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
4537,22845,25598,25599,201894096#2,1.0,1.2,1.11
4538,22849,25600,25601,201894096#3,3.8333333333333335,16.566666666666666,12.13
4539,22853,25602,25603,201894096#4,8.75,2.2142857142857144,78.86
4540,22857,25604,25605,201894096#5,3.125,0.12500000000000003,27.31
4541,22861,25606,25607,201894096#7,10.777777777777779,1.9444444444444449,119.7
4542,22865,25608,25609,201894096#8,11.714285714285714,0.23809523809523825,142.5
4543,22869,25612,25613,201894100#0,3.0,0.0,0.2
4544,22870,25618,25619,201894102,2.5,0.33333333333333326,6.93
4545,22872,25620,25621,201926265#0,17.0,0.0,166.06
4546,22876,25624,25625,201926265#2,7.0,0.0,61.83
4547,22883,25628,25629,201926265#5,8.0,0.0,62.03
4548,22887,25630,25631,201926265#6,2.0,0.0,6.21
4549,22891,25632,25633,201926267#1,8.428571428571429,1.6190476190476193,48.62
4550,22895,25634,25635,201926267#3,1.7142857142857142,0.2380952380952381,4.67
4551,22899,25636,25637,201926268#1,9.285714285714286,1.9047619047619042,56.7
4552,22903,25638,25639,201926269#0,1.9090909090909092,0.09090909090909091,10.95
4553,22907,25640,25641,201926269#2,23.454545454545453,128.8727272727273,62.26
4554,22911,25646,25647,201931241#0,28.0,0.0,115.6
4555,22914,25648,25649,201931241#1,4.0,0.0,3.08
4556,22938,25668,25669,201933878#3,9.0,0.0,60.28
4557,22939,25670,25671,201933879#0,7.75,0.25000000000000006,46.26
4558,22942,25672,25673,201933879#1,9.5,0.5,59.0
4559,22945,25674,25675,201933879#2,13.0,0.0,86.82
4560,22948,25676,25677,201933879#3,4.0,0.0,17.07
4561,22952,25678,25679,201933879#4,6.0,0.0,29.74
4562,22956,25680,25681,201933879#5,5.666666666666667,0.33333333333333326,38.18
4563,22960,25682,25683,201933879#6,3.6666666666666665,0.33333333333333326,13.22
4564,22964,25684,25685,201933880#0,7.0,2.0,32.35
4565,22968,25686,25687,201933880#1,5.0,0.0,22.02
4566,22972,25688,25689,201933880#2,5.0,0.0,30.85
4567,22979,25692,25693,201933881#0,13.333333333333334,0.33333333333333304,80.61
4568,22983,25694,25695,201933881#1,4.0,0.0,20.07
